ID,TEXT_1,TEXT_2,HASHTAGS,CATEGORY,SOURCE,CREATED_AT,VIDEO_CREATED_AT
1,Say this affirmation to 100x your Health,I am vibrant healthy and full of energy,#health #vitality,Health,Generated,2024-12-06,
2,Say this affirmation to 100x your Health,My body is strong resilient and healing itself every day,#health #healing,Health,Generated,2024-12-06,
3,Say this affirmation to 100x your Health,I deeply love and respect my body,#selflove #health,Health,Generated,2024-12-06,
4,Say this affirmation to 100x your Health,I make healthy choices that nourish my mind body and spirit,#wellness #health,Health,Generated,2024-12-06,
5,Say this affirmation to 100x your Health,I am radiating good health vitality and well-being,#wellness #vitality,Health,Generated,2024-12-06,
6,Say this affirmation to 100x your Self-Confidence,I trust and believe in myself completely,#confidence #selfbelief,Self-Confidence,Generated,2024-12-06,
7,Say this affirmation to 100x your Self-Confidence,I am capable of achieving anything I set my mind to,#achievement #confidence,Self-Confidence,Generated,2024-12-06,
8,Say this affirmation to 100x your Self-Confidence,I am courageous bold and unafraid to take risks,#courage #confidence,Self-Confidence,Generated,2024-12-06,
9,Say this affirmation to 100x your Self-Confidence,I embrace my unique gifts and talents with pride,#selflove #confidence,Self-Confidence,Generated,2024-12-06,
10,Say this affirmation to 100x your Self-Confidence,I am deserving of success happiness and fulfillment,#success #confidence,Self-Confidence,Generated,2024-12-06,
11,Say this affirmation to 100x your Abundance,Abundance flows to me easily and effortlessly,#abundance #wealth,Abundance,Generated,2024-12-06,
12,Say this affirmation to 100x your Abundance,I am open and receptive to receiving an abundance of blessings,#blessings #abundance,Abundance,Generated,2024-12-06,
13,Say this affirmation to 100x your Abundance,The universe is conspiring to support my highest good,#universe #abundance,Abundance,Generated,2024-12-06,
14,Say this affirmation to 100x your Abundance,I am a magnet for prosperity wealth and infinite resources,#prosperity #abundance,Abundance,Generated,2024-12-06,
15,Say this affirmation to 100x your Abundance,My life overflows with abundance in all areas,#wealth #abundance,Abundance,Generated,2024-12-06,
16,Say this affirmation to 100x your Happiness,I choose happiness in every moment,#happiness #joy,Happiness,Generated,2024-12-06,
17,Say this affirmation to 100x your Happiness,Joy peace and contentment are my natural states of being,#peace #happiness,Happiness,Generated,2024-12-06,
18,Say this affirmation to 100x your Happiness,I am grateful for the many blessings in my life,#gratitude #happiness,Happiness,Generated,2024-12-06,
19,Say this affirmation to 100x your Happiness,I have an unwavering positive mindset and outlook,#positivity #happiness,Happiness,Generated,2024-12-06,
20,Say this affirmation to 100x your Happiness,I radiate happiness and uplift everyone around me,#joy #happiness,Happiness,Generated,2024-12-06,
21,Say this affirmation to 100x your Career,I excel in my career and am respected by my colleagues,#career #success,Career,Generated,2024-12-06,
22,Say this affirmation to 100x your Career,Exciting new opportunities are constantly presented to me,#opportunity #career,Career,Generated,2024-12-06,
23,Say this affirmation to 100x your Career,My skills and talents are valued and in high demand,#success #career,Career,Generated,2024-12-06,
24,Say this affirmation to 100x your Career,I am a driven successful and confident professional,#success #career,Career,Generated,2024-12-06,
25,Say this affirmation to 100x your Career,I am passionate about the work I do and it shows,#passion #career,Career,Generated,2024-12-06,
26,Say this affirmation to 100x your Motivation,I believe in myself and all that I am,#motivation #selfbelief,Motivation,Generated,2024-12-06,
27,Say this affirmation to 100x your Positivity,Every day is my second chance,#newbeginnings #positivity,Positivity,Generated,2024-12-06,
28,Say this affirmation to 100x your Motivation,I am capable of amazing things,#potential #motivation,Motivation,Generated,2024-12-06,
29,Say this affirmation to 100x your Growth,My small steps lead to big changes,#smallsteps #growth,Growth,Generated,2024-12-06,
30,Say this affirmation to 100x your Mindset,I choose happiness in every moment,#happiness #mindset,Mindset,Generated,2024-12-06,
31,Say this affirmation to 100x your Courage,I dream big and dare to fail,#dreambig #courage,Courage,Generated,2024-12-06,
32,Say this affirmation to 100x your Kindness,I sprinkle kindness everywhere I go,#kindness #goodvibes,Kindness,Generated,2024-12-06,
33,Say this affirmation to 100x your Success,I stay positive work hard and make it happen,#positivity #success,Success,Generated,2024-12-06,
34,Say this affirmation to 100x your Self-improvement,My only limit is my mind and I choose to be limitless,#nolimits #motivation,Self-improvement,Generated,2024-12-06,
35,Say this affirmation to 100x your Mindfulness,I inhale confidence and exhale doubt,#confidence #mindfulness,Mindfulness,Generated,2024-12-06,
36,Say this affirmation to 100x your Wisdom,I turn my wounds into wisdom,#wisdom #resilience,Wisdom,Generated,2024-12-06,
37,Say this affirmation to 100x your Hope,Now is my perfect time for new beginnings,#newbeginnings #hope,Hope,Generated,2024-12-06,
38,Say this affirmation to 100x your Improvement,I focus on progress not perfection,#progress #selfimprovement,Improvement,Generated,2024-12-06,
39,Say this affirmation to 100x your Inspiration,My smile changes the world,#smile #positivity,Inspiration,Generated,2024-12-06,
40,Say this affirmation to 100x your Happiness,I do what makes my soul shine,#shine #inspiration,Happiness,Generated,2024-12-06,
41,Say this affirmation to 100x your Action,My future depends on what I do today,#future #actions,Action,Generated,2024-12-06,
42,Say this affirmation to 100x your Opportunity,I create my own opportunities,#createopportunity #success,Opportunity,Generated,2024-12-06,
43,Say this affirmation to 100x your Resilience,Life is tough but I am tougher,#strength #resilience,Resilience,Generated,2024-12-06,
44,Say this affirmation to 100x your Goodness,I am the reason someone believes in goodness,#kindness #goodness,Goodness,Generated,2024-12-06,
45,Say this affirmation to 100x your Success,My happiness is the key to my success,#happiness #success,Success,Generated,2024-12-06,
